,date,teh,Point0_average,Point0_median,Point0_std,Point0_lat,Point0_lon,Point1_average,Point1_median,Point1_std,Point1_lat,Point1_lon,Point2_average,Point2_median,Point2_std,Point2_lat,Point2_lon,Point3_average,Point3_median,Point3_std,Point3_lat,Point3_lon,Point4_average,Point4_median,Point4_std,Point4_lat,Point4_lon,Point5_average,Point5_median,Point5_std,Point5_lat,Point5_lon,Point6_average,Point6_median,Point6_std,Point6_lat,Point6_lon,Point7_average,Point7_median,Point7_std,Point7_lat,Point7_lon,Point8_average,Point8_median,Point8_std,Point8_lat,Point8_lon,Point9_average,Point9_median,Point9_std,Point9_lat,Point9_lon,Point10_average,Point10_median,Point10_std,Point10_lat,Point10_lon,Point11_average,Point11_median,Point11_std,Point11_lat,Point11_lon,Point12_average,Point12_median,Point12_std,Point12_lat,Point12_lon,Point13_average,Point13_median,Point13_std,Point13_lat,Point13_lon,Point14_average,Point14_median,Point14_std,Point14_lat,Point14_lon,Point15_average,Point15_median,Point15_std,Point15_lat,Point15_lon,Point16_average,Point16_median,Point16_std,Point16_lat,Point16_lon,Point17_average,Point17_median,Point17_std,Point17_lat,Point17_lon,Point18_average,Point18_median,Point18_std,Point18_lat,Point18_lon,Point19_average,Point19_median,Point19_std,Point19_lat,Point19_lon,Point20_average,Point20_median,Point20_std,Point20_lat,Point20_lon,Point21_average,Point21_median,Point21_std,Point21_lat,Point21_lon,Point22_average,Point22_median,Point22_std,Point22_lat,Point22_lon,Point23_average,Point23_median,Point23_std,Point23_lat,Point23_lon,Point24_average,Point24_median,Point24_std,Point24_lat,Point24_lon,Point25_average,Point25_median,Point25_std,Point25_lat,Point25_lon,Point26_average,Point26_median,Point26_std,Point26_lat,Point26_lon
0,198401,bahawalnagar,3.0353506e-06,0.0,2.7692757e-05,29.929705600000023,72.997855,3.5275696e-06,0.0,3.2311866e-05,29.679705600000023,73.247855,4.101825e-06,0.0,3.9055925e-05,29.929705600000023,73.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,chishtian,1.7227665e-06,0.0,1.8234816e-05,29.429705600000023,72.747855,1.804803e-06,0.0,1.967987e-05,29.679705600000023,72.747855,2.5431316e-06,0.0,2.1661208e-05,29.679705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,fort abbas,1.0664745e-06,0.0,1.9088786e-05,28.929705600000023,72.497855,9.84438e-07,0.0,1.5471658e-05,29.179705600000023,72.497855,1.5586935e-06,0.0,1.8790299e-05,29.179705600000023,72.747855,1.64073e-06,0.0,1.891613e-05,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,haroonabad,1.64073e-06,0.0,1.891613e-05,29.179705600000023,72.997855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,minchinabad,6.9731027e-06,0.0,7.087722e-05,30.179705600000023,73.497855,6.4808837e-06,0.0,5.742596e-05,30.179705600000023,73.747855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,ahmadpur east,1.148511e-06,0.0,1.4798439e-05,29.179705600000023,70.997855,2.789241e-06,0.0,3.1995074e-05,29.179705600000023,71.247855,2.5431316e-06,0.0,2.4686171e-05,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,bahawalpur,2.5431316e-06,0.0,2.4686171e-05,29.429705600000023,71.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,hasilpur,1.3946205e-06,0.0,1.4606873e-05,29.429705600000023,72.497855,2.5431316e-06,0.0,2.5484582e-05,29.679705600000023,72.497855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,khairpur tamewali,1.8868395e-06,0.0,2.195745e-05,29.429705600000023,71.997855,1.804803e-06,0.0,2.1850063e-05,29.679705600000023,72.247855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,198401,yazman,0.0,0.0,0.0,28.179705600000023,70.997855,0.0,0.0,0.0,28.429705600000023,70.997855,1.64073e-07,0.0,3.1602692e-06,28.679705600000023,70.997855,8.20365e-08,0.0,2.236153e-06,27.929705600000023,71.247855,2.461095e-07,0.0,4.9974974e-06,28.179705600000023,71.247855,1.64073e-07,0.0,3.1602692e-06,28.429705600000023,71.247855,0.0,0.0,0.0,28.679705600000023,71.247855,1.5586935e-06,0.0,2.5168898e-05,28.929705600000023,71.247855,2.461095e-07,0.0,3.8679145e-06,27.929705600000023,71.497855,1.64073e-07,0.0,3.1602692e-06,28.179705600000023,71.497855,8.20365e-08,0.0,2.236153e-06,28.429705600000023,71.497855,0.0,0.0,0.0,28.679705600000023,71.497855,7.383285e-07,0.0,1.5963004e-05,28.929705600000023,71.497855,6.56292e-07,0.0,1.3778223e-05,27.929705600000023,71.747855,2.461095e-07,0.0,3.8679145e-06,28.179705600000023,71.747855,4.92219e-07,0.0,9.480807e-06,28.429705600000023,71.747855,4.92219e-07,0.0,9.480807e-06,28.679705600000023,71.747855,9.84438e-07,0.0,1.815214e-05,28.929705600000023,71.747855,1.5586935e-06,0.0,1.9315894e-05,29.179705600000023,71.747855,4.101825e-07,0.0,7.4101254e-06,28.429705600000023,71.997855,4.92219e-07,0.0,9.480807e-06,28.679705600000023,71.997855,7.383285e-07,0.0,1.2833139e-05,28.929705600000023,71.997855,1.312584e-06,0.0,1.576809e-05,29.179705600000023,71.997855,1.64073e-07,0.0,3.1602692e-06,28.679705600000023,72.247855,4.92219e-07,0.0,7.058954e-06,28.929705600000023,72.247855,1.3946205e-06,0.0,1.7420927e-05,29.179705600000023,72.247855,1.804803e-06,0.0,2.1386835e-05,29.429705600000023,72.247855
